split,actual_state,predicted_state,users
validation_2013,retained,retained,904
validation_2013,retained,weakened,471
validation_2013,retained,stopped,60
validation_2013,weakened,retained,344
validation_2013,weakened,weakened,803
validation_2013,weakened,stopped,338
validation_2013,stopped,retained,69
validation_2013,stopped,weakened,198
validation_2013,stopped,stopped,261
validation_2014,retained,retained,1035
validation_2014,retained,weakened,639
validation_2014,retained,stopped,98
validation_2014,weakened,retained,376
validation_2014,weakened,weakened,1097
validation_2014,weakened,stopped,411
validation_2014,stopped,retained,50
validation_2014,stopped,weakened,252
validation_2014,stopped,stopped,334
validation_2015,retained,retained,1196
validation_2015,retained,weakened,686
validation_2015,retained,stopped,105
validation_2015,weakened,retained,533
validation_2015,weakened,weakened,1458
validation_2015,weakened,stopped,547
validation_2015,stopped,retained,85
validation_2015,stopped,weakened,314
validation_2015,stopped,stopped,491
validation_2016,retained,retained,1244
validation_2016,retained,weakened,773
validation_2016,retained,stopped,130
validation_2016,weakened,retained,497
validation_2016,weakened,weakened,1444
validation_2016,weakened,stopped,587
validation_2016,stopped,retained,87
validation_2016,stopped,weakened,313
validation_2016,stopped,stopped,473
validation_2017,retained,retained,1493
validation_2017,retained,weakened,886
validation_2017,retained,stopped,97
validation_2017,weakened,retained,587
validation_2017,weakened,weakened,1517
validation_2017,weakened,stopped,520
validation_2017,stopped,retained,97
validation_2017,stopped,weakened,274
validation_2017,stopped,stopped,422
pooled_oof,retained,retained,5872
pooled_oof,retained,weakened,3455
pooled_oof,retained,stopped,490
pooled_oof,weakened,retained,2337
pooled_oof,weakened,weakened,6319
pooled_oof,weakened,stopped,2403
pooled_oof,stopped,retained,388
pooled_oof,stopped,weakened,1351
pooled_oof,stopped,stopped,1981
final_test,retained,retained,1523
final_test,retained,weakened,924
final_test,retained,stopped,137
final_test,weakened,retained,711
final_test,weakened,weakened,1789
final_test,weakened,stopped,565
final_test,stopped,retained,98
final_test,stopped,weakened,325
final_test,stopped,stopped,461
