state,city,business_count
PA,Philadelphia,1221
FL,Tampa,705
AZ,Tucson,642
IN,Indianapolis,618
TN,Nashville,542
LA,New Orleans,538
AB,Edmonton,499
NV,Reno,435
MO,Saint Louis,316
CA,Santa Barbara,312
ID,Boise,231
FL,Clearwater,154
LA,Metairie,132
FL,Saint Petersburg,125
NV,Sparks,115
DE,Wilmington,113
TN,Franklin,107
MO,St. Louis,98
IN,Carmel,86
FL,St. Petersburg,83
FL,Largo,82
ID,Meridian,82
NJ,Cherry Hill,71
FL,Brandon,68
CA,Goleta,66
IN,Fishers,63
IN,Greenwood,60
FL,Riverview,58
PA,West Chester,57
FL,Palm Harbor,57
FL,New Port Richey,55
LA,Kenner,54
FL,Lutz,51
TN,Brentwood,48
FL,Dunedin,48
FL,Wesley Chapel,46
FL,Tarpon Springs,43
PA,King of Prussia,43
PA,Doylestown,40
TN,Hendersonville,40
PA,Newtown,38
PA,Phoenixville,37
PA,Bensalem,37
IN,Zionsville,37
FL,Pinellas Park,36
LA,Gretna,35
PA,New Hope,35
PA,Norristown,35
NJ,Marlton,34
FL,Spring Hill,34
TN,Smyrna,32
IL,Edwardsville,32
PA,Exton,32
ID,Eagle,31
PA,Media,31
PA,Lansdale,31
DE,Newark,31
CA,Carpinteria,31
ID,Garden City,31
MO,Saint Charles,30
FL,Valrico,30
AB,Sherwood Park,30
FL,Plant City,27
PA,Ardmore,27
AZ,Oro Valley,27
PA,Wayne,27
IL,Belleville,26
PA,Springfield,26
FL,Seminole,26
FL,St Petersburg,26
PA,North Wales,26
PA,Langhorne,26
PA,Malvern,26
NJ,Mount Laurel,25
MO,Kirkwood,25
MO,Florissant,25
NJ,Haddonfield,25
PA,Havertown,24
PA,Bryn Mawr,24
IN,Avon,24
NJ,Collingswood,24
IN,Plainfield,23
PA,Pottstown,23
PA,Royersford,23
FL,Madeira Beach,23
MO,Des Peres,22
LA,Marrero,22
TN,Mount Juliet,22
PA,Kennett Square,21
IN,Brownsburg,21
IL,Fairview Heights,21
FL,Oldsmar,21
NJ,Medford,21
PA,Warrington,21
MO,Ballwin,21
MO,Fenton,20
PA,Conshohocken,20
NJ,Voorhees,20
LA,Harvey,20
TN,Hermitage,20
NJ,Woodbury,20
MO,St Louis,20
PA,Levittown,20
PA,Collegeville,19
PA,Bristol,19
PA,Willow Grove,19
MO,Maplewood,19
NJ,Trenton,18
PA,Warminster,18
FL,Hudson,18
PA,Glenside,18
PA,Blue Bell,18
MO,Creve Coeur,18
NJ,Sewell,18
MO,Chesterfield,17
NJ,Burlington,17
NJ,Pennsauken,17
PA,Drexel Hill,17
FL,Odessa,16
MO,Arnold,16
NJ,Swedesboro,16
MO,Clayton,16
NJ,Glassboro,15
NJ,Williamstown,15
LA,Harahan,15
NJ,Lambertville,15
PA,Broomall,15
PA,Fairless Hills,15
PA,Glen Mills,15
FL,Temple Terrace,15
TN,Gallatin,15
DE,New Castle,15
FL,Tampa Bay,15
TN,Goodlettsville,14
PA,Jenkintown,14
PA,Newtown Square,14
PA,Wynnewood,14
IL,Collinsville,14
NJ,Berlin,14
NJ,Mount Holly,13
TN,Madison,13
NJ,Bordentown,13
FL,Zephyrhills,13
PA,Aston,13
PA,Ambler,13
PA,Abington,13
TN,Antioch,13
PA,Narberth,13
FL,Trinity,13
PA,Horsham,13
PA,Yardley,13
FL,Land O Lakes,12
FL,Apollo Beach,12
FL,St. Pete Beach,12
MO,Webster Groves,12
PA,Elkins Park,12
NJ,Mullica Hill,12
PA,Plymouth Meeting,12
MO,Maryland Heights,12
NJ,Clementon,12
LA,Chalmette,12
NJ,Cinnaminson,12
AZ,Sahuarita,12
MO,St Charles,12
NJ,Moorestown,12
NJ,Sicklerville,11
TN,Nolensville,11
MO,Manchester,11
AB,St Albert,11
MO,University City,11
NJ,Deptford,11
IL,O'Fallon,11
PA,Chalfont,11
IN,Mooresville,11
FL,Gulfport,11
PA,Souderton,11
FL,Safety Harbor,11
CA,Isla Vista,11
PA,Upper Darby,11
FL,Belleair Bluffs,11
PA,Huntingdon Valley,11
NJ,Maple Shade,11
PA,Feasterville Trevose,10
PA,Perkasie,10
FL,Port Richey,10
FL,Holiday,10
PA,Hatfield,10
PA,Hatboro,10
FL,Land O' Lakes,10
PA,Lahaska,10
MO,Brentwood,10
NJ,Blackwood,10
PA,Dresher,10
PA,Downingtown,10
MO,Town and Country,10
IN,Speedway,9
FL,South Pasadena,9
PA,Paoli,9
DE,Hockessin,9
NJ,Camden,9
NJ,Ewing,9
LA,Terrytown,9
PA,Brookhaven,9
PA,Lansdowne,9
PA,Chadds Ford,9
PA,Chester Springs,9
MO,Bridgeton,9
PA,Bala Cynwyd,9
NJ,Voorhees Township,9
NJ,Turnersville,9
PA,Southampton,8
FL,Seffner,8
FL,Indian Rocks Beach,8
PA,Quakertown,8
FL,Treasure Island,8
PA,Glenolden,8
IL,Alton,8
PA,Harleysville,8
NJ,Pitman,8
NJ,Delran,8
MO,Richmond Heights,8
AZ,Marana,8
PA,Wyncote,7
FL,Gibsonton,7
FL,Clearwater Beach,7
MO,Olivette,7
MO,St. Charles,7
PA,Richboro,7
NJ,Haddon Township,7
PA,Clifton Heights,7
AB,St. Albert,7
PA,Feasterville,7
FL,Ruskin,7
FL,Lithia,7
DE,Claymont,7
TN,Old Hickory,7
PA,Morrisville,6
PA,King Of Prussia,6
NJ,Glendora,6
IL,Millstadt,6
NJ,Hammonton,6
PA,Flourtown,6
MO,Ladue,6
PA,Trevose,6
PA,Buckingham,6
IN,Beech Grove,6
IL,Shiloh,6
NJ,Willingboro,6
NJ,West Deptford,6
TN,Pleasant View,6
PA,Folsom,5
PA,Feasterville-Trevose,5
NJ,Columbus,5
PA,Limerick,5
NJ,Evesham Township,5
TN,Ashland City,5
MO,Overland,5
TN,La Vergne,5
FL,Dover,5
MO,Rock Hill,5
CA,Summerland,5
IL,Glen Carbon,5
PA,Avondale,5
PA,Collingdale,5
IL,O Fallon,5
PA,East Norriton,5
NJ,Clayton,5
FL,Saint Pete Beach,5
PA,Devon,5
IN,Noblesville,5
PA,Jamison,5
LA,River Ridge,5
LA,Westwego,5
FL,Kenneth City,5
PA,Pipersville,5
MO,Ferguson,5
PA,Montgomeryville,5
NJ,Lindenwold,5
LA,Jefferson,5
TN,Mt. Juliet,5
NV,Sun Valley,5
AZ,Vail,5
TN,Bellevue,5
NJ,Stratford,4
PA,Spring House,4
TN,White House,4
MO,Imperial,4
PA,Spring City,4
NJ,Westmont,4
NJ,Westville,4
NJ,Somerdale,4
IL,Swansea,4
IL,Troy,4
AZ,Green Valley,4
CA,Montecito,4
FL,Westchase,4
MO,Valley Park,4
MO,Affton,4
FL,Thonotosassa,4
FL,Palmetto,4
NJ,Bellmawr,4
MO,Sunset Hills,4
FL,St Pete Beach,4
