rank,feature,feature_group,importance_mean,importance_std,feature_group_label,importance_share_pct,baseline_pr_auc,metric,split,model_version,method,repeats
1,recent_recency_days,interval,0.03383042342752046,0.0031622701960120317,작성 간격,35.66844756548905,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
2,inactive_month_count_6m,activity,0.020107646239128453,0.0025721024716499406,리뷰 활동량,21.200104902095894,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
3,recent_unique_business_count,business,0.010502188467053874,0.00215656358456798,음식점 탐색,11.072777716263138,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
4,baseline_active_months,activity,0.007881561366356088,0.0008647365028147194,리뷰 활동량,8.309770610242131,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
5,recent_active_months,activity,0.004052230217540387,0.0017594753081109308,리뷰 활동량,4.272389949457489,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
6,recent_review_count,activity,0.0029540899435993805,0.0014628745689892583,리뷰 활동량,3.1145871550427637,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
7,inactive_month_count_3m,activity,0.002912010711205992,0.0017647500225090689,리뷰 활동량,3.070221736518364,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
8,recent_mean_interval_days,interval,0.0014285743057209865,0.0009450191856599021,작성 간격,1.50618947546376,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
9,recency_vs_mean_interval,interval,0.0010756557320027616,0.0006737506001783114,작성 간격,1.1340966558593937,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
10,review_count_slope_6m,activity,0.001028863440046085,0.0010934648578972718,리뷰 활동량,1.084762114844809,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
11,baseline_review_count,activity,0.0009300045615521669,0.0005630480945842498,리뷰 활동량,0.9805321831237975,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
12,unique_business_slope_6m,business,0.0009131391724714943,0.0008100055947583118,음식점 탐색,0.9627504888631758,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
13,baseline_new_business_rate,business,0.0008145376157860318,0.000566850521004271,음식점 탐색,0.8587918593755524,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
14,active_years,activity,0.0007682566755549014,0.000681534307217883,리뷰 활동량,0.8099964520862445,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
15,baseline_median_interval_days,interval,0.0006835516080176518,0.0005779638609037605,작성 간격,0.7206893150811005,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
16,baseline_unique_business_count,business,0.000616457002444526,0.00041100705933003716,음식점 탐색,0.6499494254093262,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
17,years_since_last_elite,activity,0.0006012458542057342,0.0006731763099855855,리뷰 활동량,0.6339118477381918,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
18,recency_increase_days,interval,0.0005674524572371386,0.00023342624869890168,작성 간격,0.5982824382980022,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
19,recent_max_interval_days,interval,0.0005078941558625316,0.0009722438691930384,작성 간격,0.5354883040708308,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
20,baseline_reviews_per_active_month,activity,0.0003976331468749206,0.00033510283138409795,리뷰 활동량,0.4192367582981809,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
