selection_rank,candidate_id,penalty,C,class_weight,weakened_threshold,stopped_threshold,validation_samples,fold_macro_pr_auc_mean,fold_macro_pr_auc_std,fold_macro_roc_auc_mean,maximum_iterations,oof_accuracy,oof_balanced_accuracy,oof_macro_precision,oof_macro_recall,oof_macro_f1,oof_weighted_f1,oof_macro_pr_auc,oof_macro_ovr_roc_auc,oof_retained_precision,oof_retained_recall,oof_retained_f1,oof_retained_support,oof_retained_pr_auc,oof_retained_roc_auc,oof_weakened_precision,oof_weakened_recall,oof_weakened_f1,oof_weakened_support,oof_weakened_pr_auc,oof_weakened_roc_auc,oof_stopped_precision,oof_stopped_recall,oof_stopped_f1,oof_stopped_support,oof_stopped_pr_auc,oof_stopped_roc_auc,selected
1,l1_C0.01_balanced,l1,0.01,balanced,0.36,0.45,24596,0.5795501083631571,0.008099675992605825,0.7577571585438886,78,0.5761912506098552,0.5673542577021482,0.5524904369133611,0.5673542577021482,0.5561615959632548,0.5804291432977426,0.5804025351452574,0.7588111180171278,0.6830289635919506,0.5981460731384334,0.637775605517541,9817,0.7419245805446455,0.8004860694397852,0.568,0.5713898182475812,0.5696898665705012,11059,0.5885793906504888,0.6716131544585385,0.40644234714813293,0.5325268817204301,0.4610193158017221,3720,0.4107036342406381,0.8043341301530595,True
2,l1_C0.1_none,l1,0.1,none,0.42,0.35,24596,0.5821450609482755,0.006076319989659939,0.7617085739149083,68,0.599934948772158,0.5453574742020969,0.5775161585271991,0.5453574742020969,0.5558136948135451,0.5966158570996885,0.5822168712498262,0.7623581204750906,0.6945611577964519,0.6061933380869919,0.64737557791678,9817,0.7420554221308716,0.8010218158137339,0.5654043452021726,0.6777285468848901,0.6164918774419083,11059,0.5926922768353683,0.6808628901549449,0.4725829725829726,0.3521505376344086,0.403573629081947,3720,0.4119029147832388,0.8051896554565926,False
3,l1_C0.03_balanced,l1,0.03,balanced,0.36,0.45,24596,0.5807838226662193,0.006692643849421448,0.7583884850695868,122,0.5750121971052203,0.5682434735303108,0.5518223827669805,0.5682434735303108,0.5556895691901366,0.5795106572459768,0.5813271998480259,0.7592878368281505,0.683927527761543,0.5960069267597026,0.6369475288482473,9817,0.742700187086922,0.800991282081966,0.5681715371392382,0.5678632787774663,0.5680173661360347,11059,0.5890586962314418,0.6717143530215883,0.4033680834001604,0.5408602150537635,0.4621038125861277,3720,0.412222716225714,0.8051578753808973,False
4,l2_C0.1_none,l2,0.1,none,0.42,0.35,24596,0.5822717972088928,0.00576893813419317,0.7617850648717264,115,0.5994064075459424,0.5452568807503397,0.5765480290552351,0.5452568807503397,0.5555427198082358,0.5962151542698284,0.5822371569695791,0.7624022364289208,0.6936046511627907,0.6076194356728125,0.647771081066406,9817,0.7421798272643243,0.8013842160581196,0.5652404392275653,0.6749254001265937,0.6152324431256182,11059,0.5931388352732905,0.6808049498027406,0.4707989967753493,0.3532258064516129,0.40362463523268316,3720,0.4113928083711225,0.8050175434259024,False
5,l2_C0.03_none,l2,0.03,none,0.42,0.35,24596,0.5822498678444673,0.005863386823711832,0.7617057570221293,59,0.5998129777199545,0.5449392215227917,0.5774777388233815,0.5449392215227917,0.5554580749759935,0.5964148039195633,0.582101547037125,0.7623500396843094,0.6946002805049089,0.6053784251808088,0.6469275567408698,9817,0.7419221284927483,0.8012072031237483,0.5651781007605995,0.6786327877746632,0.6167310378831456,11059,0.5930997614515003,0.6808325706646687,0.472654835204636,0.35080645161290325,0.40271563030396546,3720,0.41128275116712615,0.8050103452645112,False
6,l1_C0.3_none,l1,0.3,none,0.42,0.35,24596,0.5824132261226789,0.0057193790616464875,0.7618586944514157,133,0.5994064075459424,0.5451707229885421,0.5764866373772789,0.5451707229885421,0.5554355552638658,0.5962205476050175,0.5823343342790378,0.762464848146356,0.6944055944055944,0.6069063868799022,0.6477143012447681,9817,0.7421531487481658,0.8012590760053027,0.5651187414914537,0.6756487928384122,0.6154606482434826,11059,0.5930376377499241,0.6808864764338973,0.4699355762347888,0.35295698924731184,0.40313171630334665,3720,0.4118122163390234,0.8052489919998681,False
7,l2_C0.3_none,l2,0.3,none,0.42,0.35,24596,0.582262617974212,0.005690691910782053,0.7617527813159851,182,0.5988778663197268,0.5451547382074473,0.5760430852725146,0.5451547382074473,0.5553677162321385,0.5957455621052479,0.5822251958029093,0.7623721257356278,0.6920844939647168,0.6074157074462667,0.6469918081701297,9817,0.7422577040887777,0.8014311470241711,0.565141513013127,0.6734786147029569,0.6145721594190939,11059,0.5930517081426985,0.680757309660716,0.4709032488397001,0.35456989247311826,0.40453918110719217,3720,0.41136617517725166,0.8049279205219967,False
8,l2_C0.01_balanced,l2,0.01,balanced,0.36,0.45,24596,0.58049125359147,0.006867628013936892,0.7580504821921964,30,0.5742803707919987,0.5684297548234695,0.5510492806668988,0.5684297548234695,0.5553333778086952,0.5787107985258484,0.5810009323409919,0.7589991593284929,0.6807347982792699,0.5964143832127942,0.6357910739493974,9817,0.7421511553398755,0.8010584562918555,0.5689042717916022,0.564788859752238,0.5668390961067248,11059,0.588765297694874,0.6710296695951081,0.40350877192982454,0.5440860215053763,0.4633699633699634,3720,0.4120863439882264,0.8049093520985152,False
9,l2_C0.03_balanced,l2,0.03,balanced,0.36,0.45,24596,0.5810045575847274,0.0065104081752458895,0.7584621598906329,57,0.573955114652789,0.5690051565994855,0.5505711830520812,0.5690051565994855,0.5552441421953697,0.5784121843395539,0.5814701596371773,0.7593640760413699,0.6796856944765426,0.5991647142711622,0.6368902604082075,9817,0.7428873661191021,0.8015297440970698,0.5696563131777247,0.5605389275703048,0.5650608449933914,11059,0.5892220735977164,0.6715062714085476,0.4023715415019763,0.5473118279569893,0.46378132118451026,3720,0.41230103919471356,0.8050562126184928,False
10,l2_C1_none,l2,1.0,none,0.42,0.35,24596,0.5822150263582444,0.005715261537429958,0.7617008895591312,256,0.5985526101805172,0.5448427029074375,0.5757111831939131,0.5448427029074375,0.5550494474238888,0.5954110214133724,0.582215740040551,0.7623213335506999,0.6914955331244924,0.607110115106448,0.6465610761553482,9817,0.7422692989218884,0.8014288518249209,0.5649237307429612,0.6731169183470477,0.614292787588711,11059,0.5930146195990714,0.6807071913228571,0.4707142857142857,0.3543010752688172,0.40429447852760736,3720,0.4113633016006932,0.8048279575043216,False
11,l1_C0.3_balanced,l1,0.3,balanced,0.36,0.45,24596,0.5811943852198109,0.006342436062319042,0.758667928679366,86,0.573548544478777,0.5690353849013209,0.5501928913185948,0.5690353849013209,0.5550158802512529,0.5780024137128318,0.5816651756737811,0.7595277161800587,0.6791560986857275,0.6000814912906183,0.637174841814937,9817,0.7431580150519528,0.8016318287700304,0.5693343167988199,0.5583687494348495,0.5637982195845698,11059,0.5892658072622627,0.6717625141859177,0.4020882584712372,0.5486559139784947,0.46407457935425195,3720,0.4125717047071277,0.805188805584228,False
12,l1_C1_none,l1,1.0,none,0.42,0.35,24596,0.582338217694888,0.00567769292972502,0.7617992042920387,296,0.5986745812327208,0.544758547222523,0.5756150127347316,0.544758547222523,0.5549399582293973,0.5955314025644267,0.5822848572891787,0.7624006307021401,0.6924953531598513,0.6072119792197209,0.647055630936228,9817,0.7422814336145833,0.8014059480798497,0.5648744976112838,0.6735690387919342,0.6144518683494185,11059,0.5931052351760168,0.6807784778617922,0.4694751874330596,0.353494623655914,0.4033123754025456,3720,0.4114679030769361,0.8050174661647783,False
