rank,feature,feature_group,importance_mean,importance_std,importance_share_pct,feature_group_label
1,recent_active_months,activity,0.0799410904229767,0.00542245906721279,49.94871307852324,리뷰 활동량
2,recent_recency_days,interval,0.04963748718503437,0.0035788899488926845,31.014445665248854,작성 간격
3,baseline_active_months,activity,0.005050989466625827,0.002066918638473321,3.155954244509819,리뷰 활동량
4,recent_new_vs_baseline_count,business,0.004999346355279016,0.002433680514763892,3.123686646738815,음식점 탐색
5,recent_unique_business_count,business,0.003545933587018718,0.002012575564314793,2.2155667178964356,음식점 탐색
6,baseline_new_business_rate,business,0.002728811164871031,0.0008444865707037681,1.7050130939975063,음식점 탐색
7,baseline_unique_business_count,business,0.00210075117914178,0.0010721004079470894,1.3125892746912442,음식점 탐색
8,reviews_per_active_month_ratio,activity,0.0018749844814285876,0.000811860495170142,1.1715259498467188,리뷰 활동량
9,reviews_per_active_month_decline_rate,activity,0.0018749844814285876,0.000811860495170142,1.1715259498467188,리뷰 활동량
10,recent_reviews_per_active_month,activity,0.0011579283176426647,0.0006808395582668049,0.7234956265596176,리뷰 활동량
11,recent_median_interval_days,interval,0.0009960540826610576,0.0008354790755419617,0.622353527107121,작성 간격
12,baseline_mean_interval_days,interval,0.0009486784971944939,0.0010213196895889041,0.5927523606372136,작성 간격
13,baseline_median_interval_days,interval,0.0008590485341684218,0.001109803365417773,0.5367498557584315,작성 간격
14,recent_review_count,activity,0.0006313635130542894,0.0008079721847198985,0.39448792598322047,리뷰 활동량
15,recent_new_business_rate,business,0.0006261984346121796,0.000740624399679111,0.39126068677785103,음식점 탐색
16,review_count_decline_rate,activity,0.0005000234910094048,0.0016003747918890143,0.31242418326798094,리뷰 활동량
17,review_count_ratio,activity,0.0005000234910094048,0.0016003747918890143,0.31242418326798094,리뷰 활동량
18,baseline_max_interval_days,interval,0.00040618674025846846,0.0003366269824148559,0.25379319744229506,작성 간격
19,recent_new_vs_baseline_rate,business,0.0003067419655768677,0.0005463484267420268,0.1916582116490313,음식점 탐색
20,recent_revisit_rate,business,0.0003067419655768677,0.0005463484267420268,0.1916582116490313,음식점 탐색
21,recent_mean_interval_days,interval,0.00024833848183273275,0.00019883038048188655,0.15516660468086396,작성 간격
22,recent_interval_available,interval,0.00024833848183273275,0.00019883038048188655,0.15516660468086396,작성 간격
23,median_interval_increase_days,interval,0.00024833848183273275,0.00019883038048188655,0.15516660468086396,작성 간격
24,baseline_reviews_per_active_month,activity,0.0001605796354901934,0.000271217905292745,0.10033320907827135,리뷰 활동량
25,max_interval_increase_days,interval,0.00010034771889662064,0.0003482713552819914,0.06269916250493111,작성 간격
26,recent_revisited_business_count,business,4.7036377646375585e-05,0.0002708005681406514,0.0293892229750798,음식점 탐색
27,baseline_new_business_count,business,0.0,0.0,0.0,음식점 탐색
28,new_business_count_diff,business,0.0,0.0,0.0,음식점 탐색
29,unique_business_decline_rate,business,0.0,0.0,0.0,음식점 탐색
30,recent_new_business_count,business,0.0,0.0,0.0,음식점 탐색
31,unique_business_ratio,business,0.0,0.0,0.0,음식점 탐색
32,baseline_review_count,activity,0.0,0.0,0.0,리뷰 활동량
33,new_business_rate_decline,business,0.0,0.0,0.0,음식점 탐색
34,unique_business_count_diff,business,0.0,0.0,0.0,음식점 탐색
35,recency_increase_days,interval,0.0,0.0,0.0,작성 간격
36,reviews_per_active_month_diff,activity,0.0,0.0,0.0,리뷰 활동량
37,active_month_decline_rate,activity,0.0,0.0,0.0,리뷰 활동량
38,active_month_ratio,activity,0.0,0.0,0.0,리뷰 활동량
39,active_month_diff,activity,0.0,0.0,0.0,리뷰 활동량
40,review_count_diff,activity,0.0,0.0,0.0,리뷰 활동량
41,baseline_recency_days,interval,-0.0004018782577435376,0.0010161568366627426,0.0,작성 간격
42,recent_max_interval_days,interval,-0.0005290066661452653,0.00047014662329010725,0.0,작성 간격
43,mean_interval_increase_days,interval,-0.0007995585341167899,0.000863431251957319,0.0,작성 간격
