selection_rank,candidate_name,hidden_dims,dropout,learning_rate,weight_decay,epochs,batch_size,class_weighted_loss,weakened_threshold,stopped_threshold,validation_samples,seed_macro_f1_mean,seed_macro_f1_std,seed_macro_pr_auc_mean,seed_macro_pr_auc_std,oof_accuracy,oof_balanced_accuracy,oof_macro_precision,oof_macro_recall,oof_macro_f1,oof_weighted_f1,oof_macro_pr_auc,oof_macro_ovr_roc_auc,oof_retained_precision,oof_retained_recall,oof_retained_f1,oof_retained_support,oof_retained_pr_auc,oof_weakened_precision,oof_weakened_recall,oof_weakened_f1,oof_weakened_support,oof_weakened_pr_auc,oof_stopped_precision,oof_stopped_recall,oof_stopped_f1,oof_stopped_support,oof_stopped_pr_auc,selected
1,mlp_medium_unweighted,128x64x32,0.2,0.0007,0.0005,50,512,False,0.42,0.35,24596,0.5594244582324293,0.0011846414468209925,0.5818146603198202,0.000830651638854935,0.5931858838835583,0.5543619802940187,0.5728438589984702,0.5543619802940187,0.559744226972608,0.5931671280183357,0.5832470379536395,0.7622827553414101,0.7053827900586986,0.5753285117653051,0.6337522441651705,9817,0.7439573092160365,0.5623999390104445,0.6670585043855684,0.6102746525479815,11059,0.595793936221571,0.4507488479262673,0.4206989247311828,0.4352057842046719,3720,0.4099898684233111,True
2,mlp_medium_unweighted,128x64x32,0.2,0.0007,0.0005,50,512,False,0.36,0.35,24596,0.5519833320901885,0.0011925990735814698,0.5818146603198202,0.000830651638854935,0.5879817856562043,0.5473693191739953,0.5852975538736156,0.5473693191739953,0.5523021172549307,0.5850096163010097,0.5832470379536395,0.7622827553414101,0.7583280955373979,0.49159621065498627,0.5965020703293987,9817,0.7439573092160365,0.5468157181571816,0.729812822135817,0.6251984972307215,11059,0.595793936221571,0.4507488479262673,0.4206989247311828,0.4352057842046719,3720,0.4099898684233111,False
3,mlp_medium_weighted,128x64x32,0.2,0.0007,0.0005,50,512,True,0.36,0.55,24596,0.5506895442521036,0.00046647053065986015,0.5774698582239001,0.0010695546462179042,0.5772889900796877,0.5519185725515037,0.5553156071457924,0.5519185725515037,0.5514169400214811,0.5786976192290464,0.5789945639957793,0.7567696646952452,0.6698818422956354,0.5659570133441988,0.6135497763789962,9817,0.7441517022504461,0.5606908294818779,0.6252825752780541,0.5912277701778386,11059,0.5819219972396961,0.43537414965986393,0.4645161290322581,0.4494732735076083,3720,0.4109099924971956,False
4,mlp_medium_weighted,128x64x32,0.2,0.0007,0.0005,50,512,True,0.36,0.45,24596,0.5481344765005821,0.0002686174788521893,0.5774698582239001,0.0010695546462179042,0.5626931208326558,0.5703708590615562,0.5492463290667667,0.5703708590615562,0.5486841759750974,0.5692899206589289,0.5789945639957793,0.7567696646952452,0.7079414838035528,0.5521034939390853,0.6203857379957649,9817,0.7441517022504461,0.556544408486156,0.5598155348584863,0.5581751791912726,11059,0.5819219972396961,0.38325309491059145,0.5991935483870968,0.467491610738255,3720,0.4109099924971956,False
5,mlp_small_weighted,64x32,0.1,0.001,0.0001,40,512,True,0.36,0.45,24596,0.5469803371850951,0.0005581475437506211,0.5763527403194925,0.0007941085312550726,0.5624898357456497,0.5685269073557472,0.5486435568120533,0.5685269073557472,0.5480883174458142,0.5688135211194993,0.578285498955589,0.7564029165031082,0.7052136417091337,0.5497606193338087,0.6178591871780195,9817,0.7437985328337883,0.5553477602636032,0.563884618862465,0.5595836324479541,11059,0.5806217784503223,0.3853692684634232,0.5919354838709677,0.46682213271146916,3720,0.41043618558265665,False
6,mlp_small_weighted,64x32,0.1,0.001,0.0001,40,512,True,0.36,0.55,24596,0.5477965982933486,0.0006291227103834889,0.5763527403194925,0.0007941085312550726,0.5758253374532444,0.5463149063880686,0.5535439087963612,0.5463149063880686,0.5477684627509336,0.5765248856521014,0.578285498955589,0.7564029165031082,0.6646216768916156,0.5627992258327391,0.6094870380584666,9817,0.7437985328337883,0.558675305975522,0.631521837417488,0.5928692699490662,11059,0.5806217784503223,0.43733474352194607,0.4446236559139785,0.4409490802452679,3720,0.41043618558265665,False
7,mlp_medium_weighted,128x64x32,0.2,0.0007,0.0005,50,512,True,0.3,0.55,24596,0.5422139932413833,0.0021538091759537303,0.5774698582239001,0.0010695546462179042,0.5754594242966335,0.545871801255652,0.5837811502866223,0.545871801255652,0.5440807830248815,0.5713663011448096,0.5789945639957793,0.7567696646952452,0.7784775958250855,0.44066415401853926,0.5627683101339924,9817,0.7441517022504461,0.5374917053749171,0.7324351207161588,0.6200007654330437,11059,0.5819219972396961,0.43537414965986393,0.4645161290322581,0.4494732735076083,3720,0.4109099924971956,False
8,mlp_small_weighted,64x32,0.1,0.001,0.0001,40,512,True,0.3,0.55,24596,0.5385506452021641,0.0009318348103501942,0.5763527403194925,0.0007941085312550726,0.572328833956741,0.538727271894978,0.5829529608262224,0.538727271894978,0.538285717965037,0.5665621319974197,0.578285498955589,0.7564029165031082,0.7785371259697081,0.42935723744524806,0.5534764624778412,9817,0.7437985328337883,0.532987012987013,0.7422009223257076,0.620431611172002,11059,0.5806217784503223,0.43733474352194607,0.4446236559139785,0.4409490802452679,3720,0.41043618558265665,False
9,mlp_medium_weighted,128x64x32,0.2,0.0007,0.0005,50,512,True,0.3,0.45,24596,0.535665080675893,0.0022560867746958765,0.5774698582239001,0.0010695546462179042,0.5538298910391933,0.559563419598405,0.5669186953358968,0.559563419598405,0.5374408204793082,0.5570286611694031,0.5789945639957793,0.7567696646952452,0.7843101565344012,0.4389324640929001,0.5628633008947815,9817,0.7441517022504461,0.5331928345626976,0.6405642463152184,0.5819675498048881,11059,0.5819219972396961,0.38325309491059145,0.5991935483870968,0.467491610738255,3720,0.4109099924971956,False
10,mlp_medium_weighted,128x64x32,0.2,0.0007,0.0005,50,512,True,0.42,0.45,24596,0.5360360985910145,0.0011168149671823091,0.5774698582239001,0.0010695546462179042,0.5538705480565945,0.5689133674208718,0.5306447549151124,0.5689133674208718,0.5364880522072828,0.5512619446775471,0.5789945639957793,0.7567696646952452,0.6189734188817598,0.6878883569318529,0.6516138370241714,9817,0.7441517022504461,0.589707750952986,0.4196581969436658,0.49035870885942207,11059,0.5819219972396961,0.38325309491059145,0.5991935483870968,0.467491610738255,3720,0.4109099924971956,False
